"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"261","Artibeus phaeotis",11.69,0.99,2,-999,-999,-999,-999,"Artibeus_phaeotis","2433264"
"262","Artibeus toltecus",14.085,0.99,2,-999,-999,-999,-999,"Artibeus_toltecus","2433260"
"263","Artibeus watsoni",12.31,0.995,-999,-999,-999,-999,-999,"Artibeus_watsoni","4265337"
"264","Arvicanthis abyssinicus",73.34,-999,-999,2.325,-999,-999,-999,"Arvicanthis_abyssinicus","2438915"
"265","Arvicanthis ansorgei",95.8,5,3.5,6.675,51.89,22,22.827,"Arvicanthis_ansorgei","4264809"
"266","Arvicanthis blicki",100.67,-999,-999,2.325,-999,-999,-999,"Arvicanthis_blicki","2438918"
"267","Arvicanthis nairobae",73.34,-999,-999,2.741666667,-999,-999,-999,"Arvicanthis_nairobae","2438916"
"268","Arvicanthis neumanni",73.34,-999,-999,2.325,-999,-999,-999,"Arvicanthis_neumanni","2438917"
"269","Arvicanthis niloticus",95.8,5,3.5,6.675,51.89,22,22.827,"Arvicanthis_niloticus","9733997"
"270","Arvicanthis rufinus",89.84,4.86,3.5,6.65,55.39352,22,23,"Arvicanthis_rufinus","4264810"
"271","Arvicola amphibius",108.75,5.08,3.22,4.25,51,21.24,14,"Arvicola_amphibius","4265185"
"272","Arvicola sapidus",120,5.04,3.21,3.5,51.21842,21.60956,14.76118,"Arvicola_sapidus","2438492"
"273","Arvicola scherman",97.5,5.09,3.21,3.5,51.21842,21.30478,14.76118,"Arvicola_scherman","4265186"
"274","Asellia patrizii",8.72,-999,-999,-999,-999,-999,-999,"Asellia_patrizii","2432601"
"275","Asellia tridens",10,1,1,-999,730.5,66.1,80.88,"Asellia_tridens","2432602"
"276","Aselliscus stoliczkanus",6.09,-999,-999,-999,-999,-999,-999,"Aselliscus_stoliczkanus","2432598"
"277","Aselliscus tricuspidatus",4.08,0.99,-999,-999,-999,-999,-999,"Aselliscus_tricuspidatus","2432599"
"278","Atelerix albiventris",450,4.49,1,11.39583333,84.15386,35.495,44,"Atelerix_albiventris","2437140"
"279","Atelerix algirus",824.49,3.75,2,7,-999,39.4084,40.08994,"Atelerix_algirus","2437136"
"280","Atelerix frontalis",319.06,5.195,1.5,6.9,388.331,37.13096,35.20506,"Atelerix_frontalis","2437132"
"281","Atelerix sclateri",392,4.49,1,11.39166667,84.15386,35.495,44,"Atelerix_sclateri","2437135"
"282","Ateles belzebuth",6692.42,1,0.3,28,1461,140.91868,-999,"Ateles_belzebuth","2436642"
"283","Ateles chamek",7294.46,1,0.5,37,1590.88114,204.46102,795.9014,"Ateles_chamek","2436646"
"284","Ateles fusciceps",7267.5,1,0.5,44.54166667,1812.34,227,598.51646,"Ateles_fusciceps","2436641"
"285","Ateles geoffroyi",7267.5,1,0.32,47.1,1964.785,229.185,818.675,"Ateles_geoffroyi","2436643"
"286","Ateles hybridus",6692.42,1,0.3,28,1461,140.91868,-999,"Ateles_hybridus","4267251"
"287","Ateles marginatus",6229.28,1,0.3,32.5,1461,140.91868,-999,"Ateles_marginatus","2436644"
"288","Ateles paniscus",7887.5,1,0.5,37.8,1665.76228,228.18,795.9014,"Ateles_paniscus","2436645"
"289","Atelocynus microtis",9500,-999,-999,11,-999,-999,-999,"Atelocynus_microtis","2434454"
"290","Atherurus africanus",2875.65,1.5,2.5,22.9,-999,106.526,45.37,"Atherurus_africanus","5219892"
"291","Atherurus macrourus",2000,1.585,-999,13.55833333,-999,-999,-999,"Atherurus_macrourus","5219891"
"292","Atilax paludinosus",3300,2,2,18.20833333,234.83,76,36,"Atilax_paludinosus","2434188"
"293","Atlantoxerus getulus",250.57,-999,-999,8.283333333,-999,-999,-999,"Atlantoxerus_getulus","2437470"
"294","Auliscomys boliviensis",73.855,3.4,-999,-999,-999,-999,-999,"Auliscomys_boliviensis","2438834"
"295","Auliscomys pictus",48.97,-999,-999,-999,-999,-999,-999,"Auliscomys_pictus","2438835"
"296","Auliscomys sublimis",38,-999,-999,-999,-999,-999,-999,"Auliscomys_sublimis","2438833"
"297","Avahi laniger",1093.355,1.005,1,-999,873.92428,136.556,155.68694,"Avahi_laniger","2436426"
"298","Avahi occidentalis",1092.28,1.01,1,-999,873.92428,136.556,155.68694,"Avahi_occidentalis","4267338"
"299","Axis axis",45500,1.03,1.01,20.8,654.84,226.745,121.872,"Axis_axis","2440934"
"300","Axis calamianensis",39812.6,1.005,-999,20,304.36,225.3741,182.308,"Axis_calamianensis","5220130"
"301","Axis kuhlii",43000,1.005,1.3,20,304.36,227.1191,182.308,"Axis_kuhlii","5220129"
"302","Axis porcinus",37448.29,1,-999,20,304.36,226.7482,182.308,"Axis_porcinus","5220128"
"303","Babyrousa babyrussa",92950.09,1.4,2,24,547.848,156.5,213,"Babyrousa_babyrussa","2441209"
"304","Babyrousa bolabatuensis",92950.09,1.4,2,24,547.848,156.5,213,"Babyrousa_bolabatuensis","4262910"
"305","Babyrousa celebensis",92950.09,1.4,2,24,547.848,156.5,213,"Babyrousa_celebensis","4262912"
"306","Babyrousa togeanensis",92950.09,1.4,2,24,547.848,156.5,213,"Babyrousa_togeanensis","4262911"
"307","Baiomys musculus",8.99,2.62,-999,-999,-999,-999,-999,"Baiomys_musculus","2438865"
"308","Baiomys taylori",7.43,2.67,10,3.13,59.3502,21.99,20.69648,"Baiomys_taylori","2438866"
"309","Balaena mysticetus",8e+07,1,0.3,40,6391.56,379.9,352,"Balaena_mysticetus","2440330"
"310","Balaenoptera acutorostrata",7500000,1,1,48.5,2740,306.6127,167.34,"Balaenoptera_acutorostrata","2440728"
"311","Balaenoptera bonaerensis",7500000,1,1,50,2740,304.4,167.34,"Balaenoptera_bonaerensis","7759914"
"312","Balaenoptera borealis",2e+07,1.01,0.45,74,3274.59,345.9852,230.09616,"Balaenoptera_borealis","2440709"
"313","Balaenoptera edeni",2e+07,1,0.5,72,3104,376,273.924,"Balaenoptera_edeni","2440714"
"314","Balaenoptera musculus",1.49e+08,1,0.41,87.5,1959.8,326.97,212.36,"Balaenoptera_musculus","2440735"
"315","Balaenoptera physalus",38800000,1,0.4,95,2311.41804,342,216.917,"Balaenoptera_physalus","2440718"
"316","Balantiopteryx infusca",9.05,-999,-999,-999,-999,-999,-999,"Balantiopteryx_infusca","2433134"
"317","Balantiopteryx io",3.97,1,-999,-999,-999,-999,-999,"Balantiopteryx_io","2433133"
"318","Balantiopteryx plicata",6.57,0.99,1,-999,226.19,138.81,58.59,"Balantiopteryx_plicata","2433132"
"319","Balionycteris maculata",14.43,1,1.5,4,730.5,135,60,"Balionycteris_maculata","2432945"
"320","Bandicota bengalensis",196.83,7.625,5.9,-999,71.3268,19.18452,29.77646,"Bandicota_bengalensis","2437727"
"321","Bandicota indica",200,6.12,4.015,4.2,115.77776,22,26.73748,"Bandicota_indica","2437729"
"322","Bandicota savilei",260.63,-999,-999,-999,-999,-999,-999,"Bandicota_savilei","2437728"
"323","Barbastella barbastellus",10,2,1,21,547.875,-999,-999,"Barbastella_barbastellus","2432582"
"324","Barbastella leucomelas",10,2,1,21,547.875,-999,-999,"Barbastella_leucomelas","2432581"
"325","Bassaricyon alleni",1238.75,1,-999,24.86666667,649.8086,75.3341,89.49,"Bassaricyon_alleni","2433586"
"326","Bassaricyon beddardi",1235.01,-999,-999,-999,-999,-999,-999,"Bassaricyon_beddardi","2433583"
"327","Bassaricyon gabbii",1242.5,1,-999,24,649.8086,75.3341,89.49,"Bassaricyon_gabbii","2433585"
"328","Bassaricyon lasius",1200,-999,-999,-999,-999,-999,-999,"Bassaricyon_lasius","2433582"
"329","Bassaricyon pauli",1200,-999,-999,8.733333333,-999,-999,-999,"Bassaricyon_pauli","2433584"
"330","Bassariscus astutus",1010.37,3,1,16,300,54.23,53.84,"Bassariscus_astutus","2433557"
"331","Bassariscus sumichrasti",906,2,-999,23.375,570.91,64.7187,119.32,"Bassariscus_sumichrasti","2433551"
"332","Bathyergus janetta",627.5,3.3,1.5,1.5,-999,68.41,27.79,"Bathyergus_janetta","2437223"
"333","Bathyergus suillus",664.4,3.13,1.5,1.5,-999,68.41,21.3052,"Bathyergus_suillus","2437222"
"334","Batomys dentatus",213.39,-999,-999,-999,-999,-999,-999,"Batomys_dentatus","2437748"
"335","Batomys granti",169.53,-999,-999,-999,-999,-999,-999,"Batomys_granti","2437750"
"336","Batomys salomonseni",185.76,-999,-999,-999,-999,-999,-999,"Batomys_salomonseni","2437749"
"337","Bauerus dubiaquercus",22.22,1.71,-999,-999,-999,-999,-999,"Bauerus_dubiaquercus","4265862"
"338","Bdeogale crassicauda",1646.065,0.98,-999,10.81666667,-999,-999,-999,"Bdeogale_crassicauda","2434117"
"339","Bdeogale jacksoni",2500,1,-999,15.8,-999,-999,-999,"Bdeogale_jacksoni","2434124"
"340","Bdeogale nigripes",2311.505,1,-999,15.8,-999,-999,-999,"Bdeogale_nigripes","2434123"
"341","Beamys hindei",88.735,3.875,5,3.158333333,194.8083,24.02594,40.24584,"Beamys_hindei","2437732"
"342","Beatragus hunteri",119000,1,0.585,16.6,652.228,238,-999,"Beatragus_hunteri","4262734"
"343","Belomys pearsonii",217,-999,-999,-999,-999,-999,-999,"Belomys_pearsonii","2437241"
"344","Berardius arnuxii",7e+06,-999,-999,69,-999,304.38,-999,"Berardius_arnuxii","2440387"
"345","Berardius bairdii",11400000,0.99,0.33,77.5,4383,446.49612,-999,"Berardius_bairdii","2440388"
"346","Berylmys bowersi",358.68,3.88,-999,2.9,-999,-999,-999,"Berylmys_bowersi","2438965"
"347","Bettongia gaimardi",1385,1,2.05,11.8,303.62,21.14,121.32,"Bettongia_gaimardi","2440025"
"348","Bettongia lesueur",1447.27,1,3,9.95,250.53,21.28,164.53,"Bettongia_lesueur","2440023"
"349","Bettongia penicillata",1101.175,1,3,18.8,189.205,19.175,150,"Bettongia_penicillata","2440026"
"350","Bettongia tropica",1184.35,1,2.56,12.9,198.41,19.44,150,"Bettongia_tropica","2440024"
"351","Bibimys chacoensis",28,-999,-999,-999,-999,-999,-999,"Bibimys_chacoensis","2439030"
"352","Bibimys torresi",28,-999,-999,-999,-999,-999,-999,"Bibimys_torresi","2439028"
"353","Bison bison",624577.07,1,1,27,912,274,273.16,"Bison_bison","2441176"
"354","Bison bonasus",624577.07,1,1,27,912,274,273.16,"Bison_bonasus","2441184"
"355","Blarina brevicauda",20.7,5.73,3,2.370833333,67.26356,20.08776,21.91392,"Blarina_brevicauda","2435862"
"356","Blarina carolinensis",20.45,4.12,3,2.370833333,67.26356,20.08776,21.91392,"Blarina_carolinensis","2435875"
"357","Blarina hylophaga",18.56,5,2.5,2.370833333,69.22678,21,26.5,"Blarina_hylophaga","2435859"
"358","Blarina peninsulae",20.45,4.12,3,2.370833333,67.26356,20.08776,21.91392,"Blarina_peninsulae","2435879"
"359","Blarinella griselda",12.5,-999,-999,-999,-999,-999,-999,"Blarinella_griselda","2435764"
"360","Blarinella quadraticauda",12.5,-999,-999,-999,-999,-999,-999,"Blarinella_quadraticauda","2435765"
"361","Blarinella wardi",12.5,-999,-999,-999,-999,-999,-999,"Blarinella_wardi","2435763"
"362","Blarinomys breviceps",36.79,1.21,-999,-999,-999,-999,-999,"Blarinomys_breviceps","2439095"
"363","Blastocerus dichotomus",102500,1,1,13.7,-999,270.57604,-999,"Blastocerus_dichotomus","2440963"
"364","Bos frontalis",812571.525,1.17,0.9,26.2,600.485,274.76636,137,"Bos_frontalis","2441025"
"365","Bos grunniens",583500,1,0.775,25,746.91586,272.01084,228,"Bos_grunniens","2441019"
"366","Bos javanicus",683333.335,1.22,1,27.03333333,753.66772,295.89,296.571,"Bos_javanicus","2441027"
"367","Bos sauveli",795660.88,1,-999,11.37083333,755.15,260,-999,"Bos_sauveli","2441018"
"368","Bos taurus",618642.42,1,1,20,548,277,182.64,"Bos_taurus","2441022"
"369","Boselaphus tragocamelus",180000,1.5,1.05,21.68333333,815,255,-999,"Boselaphus_tragocamelus","2441133"
"370","Brachylagus idahoensis",431.19,5.905,2.25,4.325,254.50056,33.03902,-999,"Brachylagus_idahoensis","2436688"
"371","Brachyphylla cavernarum",45,1,1.5,-999,-999,-999,73.44,"Brachyphylla_cavernarum","5218760"
"372","Brachyphylla nana",45,1,1.5,-999,-999,-999,73.44,"Brachyphylla_nana","5218761"
"373","Brachytarsomys albicauda",200,-999,-999,-999,-999,-999,-999,"Brachytarsomys_albicauda","2438951"
"374","Brachytarsomys villosa",209.995,-999,-999,-999,-999,-999,-999,"Brachytarsomys_villosa","4263420"
"375","Brachyteles arachnoides",10839.905,1.01,0.495,14.475,2807.74,228.96668,698.4015,"Brachyteles_arachnoides","2436666"
"376","Brachyteles hypoxanthus",10839.905,1.01,0.495,11.72916667,2807.74,228.96668,698.4015,"Brachyteles_hypoxanthus","4267243"
"377","Brachyuromys betsileoensis",93.58,-999,-999,-999,-999,-999,-999,"Brachyuromys_betsileoensis","2439207"
"378","Brachyuromys ramirohitra",92.31,-999,-999,-999,-999,-999,-999,"Brachyuromys_ramirohitra","2439208"
"379","Bradypus torquatus",4184.21,1,1,12,-999,150,60.88,"Bradypus_torquatus","2436351"
"380","Bradypus tridactylus",4072.9,1,1,25.82083333,601.59454,126.96,36.5225,"Bradypus_tridactylus","2436361"
"381","Bradypus variegatus",3963.18,1,1.05,3.241666667,1138.91512,170.84,35,"Bradypus_variegatus","2436353"
"382","Brucepattersonius iheringi",43,-999,-999,-999,-999,-999,-999,"Brucepattersonius_iheringi","4265067"
"383","Bubalus bubalis",827250.485,1.375,1,31.88333333,553.53384,314.83246,228.135,"Bubalus_bubalis","7422937"
"384","Bubalus depressicornis",205994.635,1,1,36.08,742.575,300,-999,"Bubalus_depressicornis","8085503"
"385","Bubalus mindorensis",243861.535,1,0.75,28,755.15,302.9273,-999,"Bubalus_mindorensis","7349281"
"386","Bubalus quarlesi",165859.43,1,1,29.10833333,755.15,294.99,-999,"Bubalus_quarlesi","7846959"
"387","Budorcas taxicolor",294515.33,1.17,1,19.58333333,913.08,235.6,118.55,"Budorcas_taxicolor","2441046"
"388","Bullimus bagobus",324.455,-999,-999,-999,-999,-999,-999,"Bullimus_bagobus","2437852"
"389","Bullimus luzonicus",388.57,-999,-999,-999,-999,-999,-999,"Bullimus_luzonicus","2437853"
"390","Bunolagus monticularis",1500.005,1.11,-999,4.825,-999,-999,-999,"Bunolagus_monticularis","2436681"
"391","Bunomys chrysocomus",111.29,-999,-999,-999,-999,-999,-999,"Bunomys_chrysocomus","5219843"
"392","Bunomys coelestis",111.29,-999,-999,-999,-999,-999,-999,"Bunomys_coelestis","5219848"
"393","Bunomys fratrorum",130.31,-999,-999,-999,-999,-999,-999,"Bunomys_fratrorum","5219845"
"394","Bunopithecus hoolock",6699,1,0.3,30.4375,2556.624,232.5,709,"Bunopithecus_hoolock","4267262"
"395","Burramys parvus",44.3,3.55,1,10.2,348.18,14.87,59.91,"Burramys_parvus","2440237"
"396","Cabassous centralis",3810,1,-999,8.733333333,-999,-999,-999,"Cabassous_centralis","2440806"
"397","Cabassous chacoensis",1490.01,-999,-999,-999,-999,-999,-999,"Cabassous_chacoensis","2440810"
"398","Cabassous tatouay",5349.95,-999,-999,-999,-999,-999,-999,"Cabassous_tatouay","2440811"
"399","Cabassous unicinctus",3987.97,1,-999,7.483333333,-999,-999,-999,"Cabassous_unicinctus","2440807"
"400","Cacajao calvus",3421.04,1,0.5,25,1204,182,639,"Cacajao_calvus","2436410"
"401","Cacajao melanocephalus",3121.58,1,-999,18,-999,-999,-999,"Cacajao_melanocephalus","2436409"
"402","Caenolestes caniventer",40,2,-999,-999,-999,-999,-999,"Caenolestes_caniventer","2433364"
"403","Caenolestes condorensis",48,-999,-999,-999,-999,-999,-999,"Caenolestes_condorensis","2433363"
"404","Caenolestes convelatus",35.78,-999,-999,-999,-999,-999,-999,"Caenolestes_convelatus","2433360"
"405","Caenolestes fuliginosus",31.32,3.81,-999,-999,-999,38.05,-999,"Caenolestes_fuliginosus","2433365"
"406","Calcochloris obtusirostris",24.05,2,-999,-999,-999,-999,-999,"Calcochloris_obtusirostris","2432190"
"407","Callicebus baptista",904.065,1.015,1,25.15,1095.696,164,106.526,"Callicebus_baptista","2436400"
"408","Callicebus barbarabrownae",1390.8,1.01,-999,10.06666667,-999,-999,-999,"Callicebus_barbarabrownae","2436391"
"409","Callicebus brunneus",958.13,1.01,1,25.3,1095.696,147.5,203.925,"Callicebus_brunneus","2436401"
"410","Callicebus caligatus",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_caligatus","2436384"
"411","Callicebus cinerascens",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_cinerascens","2436390"
"412","Callicebus coimbrai",1390.8,1.01,-999,10.06666667,-999,-999,-999,"Callicebus_coimbrai","2436383"
"413","Callicebus cupreus",1037.575,1.005,1,25.3,1095.696,147.5,203.925,"Callicebus_cupreus","8755067"
"414","Callicebus discolor",1037.575,1.005,1,25.3,1095.696,147.5,203.925,"Callicebus_discolor","9134962"
"415","Callicebus donacophilus",846.335,1.02,-999,25.39166667,-999,-999,-999,"Callicebus_donacophilus","2436399"
"416","Callicebus dubius",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_dubius","2436403"
"417","Callicebus hoffmannsi",904.065,1.015,1,25.15,1095.696,164,106.526,"Callicebus_hoffmannsi","2436382"
"418","Callicebus lucifer",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_lucifer","2436396"
"419","Callicebus lugens",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_lugens","2436387"
"420","Callicebus medemi",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_medemi","2436402"
"421","Callicebus melanochir",1390.8,1.01,-999,10.06666667,-999,-999,-999,"Callicebus_melanochir","2436393"
"422","Callicebus modestus",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_modestus","2436380"
"423","Callicebus moloch",850,1.01,1,25.3,1095.696,164,106.526,"Callicebus_moloch","2436388"
"424","Callicebus nigrifrons",1390.8,1.01,-999,10.06666667,-999,-999,-999,"Callicebus_nigrifrons","2436404"
"425","Callicebus oenanthe",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_oenanthe","2436381"
"426","Callicebus olallae",992.4,1.02,-999,-999,-999,-999,-999,"Callicebus_olallae","2436389"
"427","Callicebus ornatus",1037.575,1.005,1,25.3,1095.696,147.5,203.925,"Callicebus_ornatus","2436385"
"428","Callicebus pallescens",846.335,1.02,-999,25,-999,-999,-999,"Callicebus_pallescens","2436377"
"429","Callicebus personatus",1390.8,1.01,-999,10.06666667,-999,-999,-999,"Callicebus_personatus","2436398"
"430","Callicebus purinus",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_purinus","2436379"
"431","Callicebus regulus",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_regulus","2436397"
"432","Callicebus torquatus",1129.785,1.005,-999,8.483333333,1584.4634,-999,136.92,"Callicebus_torquatus","2436394"
"433","Callimico goeldii",556.5,1,1.2,17.9,389.42,153.495,71.765,"Callimico_goeldii","2436464"
"434","Callistomys pictus",518.99,-999,-999,-999,-999,-999,-999,"Callistomys_pictus","4263000"
"435","Callithrix argentata",357.25,1.87,2.31,16.5,502.76,144,120,"Callithrix_argentata","5219540"
"436","Callithrix aurita",272.705,2.24,2,16,477,144,62,"Callithrix_aurita","8827576"
"437","Callithrix chrysoleuca",343.33,-999,-999,8.25,-999,-999,106.526,"Callithrix_chrysoleuca","5707300"
"438","Callithrix emiliae",350.225,1.87,2.31,16.5,502.76,144,120,"Callithrix_emiliae","5707293"
"439","Callithrix flaviceps",290.21,2.12,2,16,477,144,62,"Callithrix_flaviceps","5219543"
"440","Callithrix geoffroyi",299.605,2.24,2,16.5,477,144,62,"Callithrix_geoffroyi","5219539"
"441","Callithrix humeralifera",299.605,2.24,2,15.35,477,144,99.01,"Callithrix_humeralifera","9198990"
"442","Callithrix intermedia",343.2,2,2,15.85,477,144,99.2,"Callithrix_intermedia","5707301"
"443","Callithrix jacchus",255.2,2.24,2,16.25,477,144,62,"Callithrix_jacchus","5219542"
"444","Callithrix kuhlii",307,2,2,16,477,144,62,"Callithrix_kuhlii","5219538"
"445","Callithrix leucippe",357.25,1.87,2.31,16.48333333,502.76,144,120,"Callithrix_leucippe","5707302"
"446","Callithrix marcai",357.25,1.87,2.31,16.5,502.76,144,120,"Callithrix_marcai","5707297"
"447","Callithrix mauesi",443.79,-999,-999,-999,-999,-999,-999,"Callithrix_mauesi","5707303"
"448","Callithrix melanura",357.25,1.87,2.31,16.48333333,502.76,144,120,"Callithrix_melanura","5707295"
"449","Callithrix nigriceps",401.12,2,-999,-999,-999,-999,-999,"Callithrix_nigriceps","5707298"
"450","Callithrix penicillata",307,2,2,15.7,477,144,62,"Callithrix_penicillata","5219541"
"451","Callithrix pygmaea",116.83,1.98,1.56,16.55,684,133.72,91,"Callithrix_pygmaea","5219535"
"452","Callorhinus ursinus",55464.82,1,0.695,26,1461,254.74932,107,"Callorhinus_ursinus","2433487"
"453","Callosciurus adamsi",304.745,1.97,-999,12.64583333,413.84,47.78452,-999,"Callosciurus_adamsi","2437403"
"454","Callosciurus baluensis",323.91,3,-999,-999,-999,-999,-999,"Callosciurus_baluensis","2437398"
"455","Callosciurus caniceps",260.955,2.195,-999,7.745833333,-999,-999,-999,"Callosciurus_caniceps","2437404"
"456","Callosciurus erythraeus",277.615,2.155,2,16.53333333,-999,48,50,"Callosciurus_erythraeus","2437394"
"457","Callosciurus melanogaster",296,-999,-999,-999,-999,-999,-999,"Callosciurus_melanogaster","2437395"
"458","Callosciurus nigrovittatus",205.15,2.2,-999,7.15,-999,-999,-999,"Callosciurus_nigrovittatus","2437400"
"459","Callosciurus notatus",400,2.085,-999,14.725,413.84,47.78452,-999,"Callosciurus_notatus","2437396"
"460","Callosciurus orestes",208.3,2.28,-999,7.15,-999,-999,-999,"Callosciurus_orestes","2437401"
"461","Callosciurus prevostii",400,1.765,-999,21.07083333,-999,47.78452,-999,"Callosciurus_prevostii","2437397"
"462","Calomys boliviae",48,4.985,3,0.416666667,47.76496,22.00914,17.99144,"Calomys_boliviae","2437956"
"463","Calomys callidus",48.6,4.985,3,-999,43.18,22.00914,17.99144,"Calomys_callidus","2437953"
"464","Calomys callosus",48.6,4.985,3,-999,47.76496,22.00914,17.99144,"Calomys_callosus","2437950"
"465","Calomys expulsus",48,4.985,3,-999,47.76496,22.00914,17.99144,"Calomys_expulsus","4265146"
"466","Calomys hummelincki",27,5,-999,1.583333333,-999,25.26188,-999,"Calomys_hummelincki","2437952"
"467","Calomys laucha",24,4.975,-999,1.583333333,-999,25.13094,-999,"Calomys_laucha","9719395"
"468","Calomys lepidus",20.59,4.22,4.69,-999,-999,-999,-999,"Calomys_lepidus","2437955"
