"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"281",1,2,"Mammal","Carnivora","Canis adustus",10250,0.182481752,"Carnivore","Eutherian",5.4799999947392
"282",1,2,"Mammal","Carnivora","Canis aureus",11000,0.132978723,"Carnivore","Eutherian",7.5200000228608
"283",1,2,"Mammal","Carnivora","Canis familiaris",40000,0.104166667,"Carnivore","Eutherian",9.59999996928
"19",1,2,"Mammal","Carnivora","Canis latrans",13362.5,0.14616972475,"Carnivore","Eutherian",6.84136199688643
"20",1,2,"Mammal","Carnivora","Canis lupus",23132.1428571429,0.189051317571429,"Carnivore","Eutherian",5.28956905905812
"295",1,2,"Mammal","Carnivora","Canis mesomelas",10250,0.149700599,"Carnivore","Eutherian",6.6799999911824
"296",1,2,"Mammal","Carnivora","Canis rufus",23000,0.159,"Carnivore","Eutherian",6.28930817610063
"297",1,2,"Mammal","Carnivora","Caracal caracal",16000,0.123152709,"Carnivore","Eutherian",8.1200000237104
"298",1,2,"Mammal","Carnivora","Catopuma temminckii",13500,0.108695652,"Carnivore","Eutherian",9.20000001472
"299",1,2,"Mammal","Carnivora","Cerdocyon thous",6500,0.196850394,"Carnivore","Eutherian",5.0799999922784
"300",1,2,"Mammal","Carnivora","Chrysocyon brachyurus",21500,0.148809524,"Carnivore","Eutherian",6.7199999913984
"21",1,2,"Mammal","Carnivora","Civettictis civetta",12833.35,0.129142857,"Carnivore","Eutherian",7.74336284042407
"303",1,2,"Mammal","Carnivora","Conepatus chinga",3400,0.25,"Carnivore","Eutherian",4
"304",1,2,"Mammal","Carnivora","Conepatus leuconotus",1900,0.245098039,"Carnivore","Eutherian",4.0800000035904
"24",1,2,"Mammal","Carnivora","Crocuta crocuta",63000,0.0809136255,"Carnivore","Eutherian",12.3588579033577
"307",1,2,"Mammal","Carnivora","Crossarchus obscurus",790,0.187969925,"Carnivore","Eutherian",5.31999999468
"308",1,2,"Mammal","Carnivora","Cryptoprocta ferox",9500,0.108225108,"Carnivore","Eutherian",9.2400000192192
"309",1,2,"Mammal","Carnivora","Cuon alpinus",15750,0.155279503,"Carnivore","Eutherian",6.4400000043792
"310",1,2,"Mammal","Carnivora","Cynictis penicillata",598.5,0.164473684,"Carnivore","Eutherian",6.0800000077824
"25",1,2,"Mammal","Carnivora","Cystophora cristata",2e+05,0.0726666666666667,"Carnivore","Eutherian",13.7614678899083
"314",1,2,"Mammal","Carnivora","Eira barbara",4500,0.112107623,"Carnivore","Eutherian",8.9200000253328
"29100",1,2,"Mammal","Carnivora","Enhydra lutris",28616.6666666667,0.0955308643333333,"Carnivore","Eutherian",10.4678211275335
"3011",1,2,"Mammal","Carnivora","Erignathus barbatus",3e+05,0.0876666666666667,"Carnivore","Eutherian",11.4068441064639
"33",1,2,"Mammal","Carnivora","Eumetopias jubatus",538333.333333333,0.0900731706666667,"Carnivore","Eutherian",11.102085033741
"324",1,2,"Mammal","Carnivora","Felis catus",3900,0.083333333,"Carnivore","Eutherian",12.000000048
"325",1,2,"Mammal","Carnivora","Felis chaus",10000,0.125,"Carnivore","Eutherian",8
"326",1,2,"Mammal","Carnivora","Felis manul",3500,0.157232704,"Carnivore","Eutherian",6.3600000162816
"327",1,2,"Mammal","Carnivora","Felis margarita",2750,0.179856115,"Carnivore","Eutherian",5.560000003336
"34",1,2,"Mammal","Carnivora","Felis nigripes",1712.5,0.186628205,"Carnivore","Eutherian",5.35824689521072
"35",1,2,"Mammal","Carnivora","Felis silvestris",4660,0.1503157894,"Carnivore","Eutherian",6.65266106768688
"335",1,2,"Mammal","Carnivora","Fossa fossana",1540,0.11682243,"Carnivore","Eutherian",8.559999993152
"336",1,2,"Mammal","Carnivora","Galerella pulverulenta",650,0.213675214,"Carnivore","Eutherian",4.6799999928864
"337",1,2,"Mammal","Carnivora","Galerella sanguinea",500,0.198412698,"Carnivore","Eutherian",5.0400000104832
"338",1,2,"Mammal","Carnivora","Galictis cuja",1000,0.245098039,"Carnivore","Eutherian",4.0800000035904
"339",1,2,"Mammal","Carnivora","Galictis vittata",2300,0.2,"Carnivore","Eutherian",5
"340",1,2,"Mammal","Carnivora","Galidia elegans",800,0.096153846,"Carnivore","Eutherian",10.40000001664
"341",1,2,"Mammal","Carnivora","Genetta genetta",1866.7,0.110132159,"Carnivore","Eutherian",9.0799999662224
"342",1,2,"Mammal","Carnivora","Genetta maculata",2225,0.125,"Carnivore","Eutherian",8
"343",1,2,"Mammal","Carnivora","Genetta tigrina",1820,0.117370892,"Carnivore","Eutherian",8.5200000013632
"344",1,2,"Mammal","Carnivora","Gulo gulo",16333.3,0.128205128,"Carnivore","Eutherian",7.80000001248
"36",1,2,"Mammal","Carnivora","Halichoerus grypus",253600,0.0624550116,"Carnivore","Eutherian",16.011525326496
"350",1,2,"Mammal","Carnivora","Helarctos malayanus",46000,0.069637883,"Carnivore","Eutherian",14.3600000017232
"351",1,2,"Mammal","Carnivora","Helogale parvula",274.8,0.138888889,"Carnivore","Eutherian",7.19999999424
"352",1,2,"Mammal","Carnivora","Hemigalus derbyanus",2400,0.15625,"Carnivore","Eutherian",6.4
"353",1,2,"Mammal","Carnivora","Herpestes edwardsi",1000,0.203252033,"Carnivore","Eutherian",4.9199999883888
"354",1,2,"Mammal","Carnivora","Herpestes ichneumon",2850,0.213,"Carnivore","Eutherian",4.69483568075117
"355",1,2,"Mammal","Carnivora","Herpestes javanicus",800,0.15060241,"Carnivore","Eutherian",6.639999984064
"356",1,2,"Mammal","Carnivora","Herpestes smithii",1702.5,0.140449438,"Carnivore","Eutherian",7.1200000102528
"357",1,2,"Mammal","Carnivora","Herpestes urva",1863.2,0.187969925,"Carnivore","Eutherian",5.31999999468
"358",1,2,"Mammal","Carnivora","Herpestes vitticollis",2250,0.1953125,"Carnivore","Eutherian",5.12
